Stock Name,Price
ASESU,948.8
RGOGB,283.17
YCUQV,134.47
XDFXC,863.73
IFSCM,997.14
KXDRY,201.17
JMALM,873.22
NYJCX,34.44
XZPRQ,690.57
LKLYA,164.62
VFEHY,89.08
LYGOL,976.59
LXEXL,669.43
GXYMF,758.03
HTXZY,86.25
YMOHM,339.57
XQWOI,537.19
CUTJY,137.84
GVLFF,416.74
WLQFW,132.42
NUBSL,42.96
ZROQT,461.69
AEOOY,346.56
RNERC,902.6
PCROL,802.07
ZNOEV,641.47
NCRVV,779.89
OINGJ,735.66
CMILK,501.83
FJGPE,108.09
JRTGR,527.12
NSXOL,906.18
JMLRD,301.66
GAMBI,825.1
LRULH,679.71
OFZMW,507.66
PCBOO,259.82
PYORU,735.34
UFFTT,175.88
MZKOP,118.97
WQDGS,121.52
MIZFP,583.4
XJTTL,382.06
ALTJV,256.07
NAOAV,490.23
GLWLX,231.01
VYVOZ,897.53
VVBUE,101.08
WFOKO,272.18
HCERY,144.15
SPDSM,456.55
MUHVF,936.17
ZGKLX,547.17
ETFPW,827.12
RROGZ,768.6
VYUCA,911.82
DRPFD,289.67
VZASQ,861.63
KPNWN,379.26
MPBPG,446.61
ICAFD,181.13
UBRPL,38.18
KMBZM,926.44
SPFEK,912.48
LHSDN,252.17
TPYDW,689.73
EBLCU,148.36
ATXPQ,126.67
AAYQT,220.52
MVETW,992.12
PZBXU,239.44
ZOQAU,677.24
HQBDL,342.83
YPVLX,593.68
WZRIG,854.28
PFKKF,580.91
LEKCU,33.67
LQMJN,576.82
LEFSV,968.03
KJPIY,667.02
VEABY,368.92
EWYPJ,723.15
PXXWO,407.06
JODPR,823.84
SWUNU,827.38
HSVXH,402.82
DKDGV,45.99
HTAKB,865.24
OEZPA,448.96
XKKNW,979.14
GYRSK,73.06
SYJEO,921.45
FRTNR,318.0
MUUKJ,726.71
QUMIN,518.55
VANSQ,231.31
EVKRA,290.62
YWWVM,134.32
YTKRO,874.31
WIVGE,448.7
PBUVJ,757.16
RWACN,953.92
UKSJE,79.6
UYJFP,241.21
YQIEI,720.86
DVTRD,344.99
VUZJC,108.16
QTMUE,248.52
XEOAU,984.5
KRHEH,828.52
OUPLU,763.21
MDIMK,17.49
RTXVN,529.54
HBYMW,732.48
EBLGK,649.96
LQDUF,693.99
AKSXS,890.86
IWTLD,802.7
FKXCI,258.03
DBEFH,671.6
DFLPK,956.23
PMIXI,99.43
BXJVG,853.64
UJOTE,970.34
HJCDH,228.12
RMCUB,454.79
XNLJS,160.63
AWWEM,478.93
VOSXF,412.47
MYXPV,342.02
GAIVF,116.59
ZJVFQ,266.12
HPKKY,350.18
WHZAK,732.83
HISJV,722.91
BOODT,296.79
YGOCB,401.46
RABIB,837.43
TIQWD,453.22
EULHG,799.43
AAFSZ,765.04
XAFVR,647.98
PRPKY,74.85
IMJBQ,838.31
RKNTR,555.15
GFGUT,107.36
CPRZZ,122.39
YSJIW,677.04
TQVWY,60.41
DKZQB,892.19
ETWXR,852.89
UGKFM,776.15
AEEEM,595.27
MBMWM,174.34
HAVJJ,462.69
UAVSU,944.46
FOPFR,726.31
VQKOW,217.12
GZMWD,713.61
EASCW,232.93
YSQYH,501.41
INUEA,647.42
BGVZM,774.67
JLXMR,645.24
UNAVO,352.84
PBHQB,947.19
CKMPZ,416.28
HXSEO,423.51
KMGIS,24.74
IYSUE,836.79
OUHVO,738.72
TOAGH,863.4
RGFND,636.87
BTZSC,478.74
XSBHZ,824.56
ZCGBI,241.42
SCQMO,658.14
SVEYG,968.56
QEQBM,33.68
RNSKV,215.7
WEKLY,463.15
SFFLR,44.85
JEVBD,23.09
QRBKB,61.76
WEUAN,98.27
TLMUE,603.51
TVCUZ,972.49
LDZAT,55.18
SCUPM,509.94
SBFOG,474.8
MCULJ,453.15
SATAF,958.6
QFZKJ,180.17
BJEDN,359.1
XKZGT,731.52
YJCHP,962.6
XDYLL,475.53
HATNY,462.16
RUWYW,827.01
DCZCJ,688.92
CVXCC,648.2
YNVJI,23.24
KNZRD,203.77
CJXOM,437.72
VOWCZ,46.58
BDHYG,314.04
XXWNH,24.53
ALISP,600.89
OPISX,543.83
DEVCR,966.76
ALFSK,916.99
IEVSK,481.28
BXYNN,777.64
BAHUQ,37.02
WDAND,973.67
IBPUM,141.94
ONZOT,494.41
RQHRA,443.02
AHMTH,901.99
VDXEG,812.6
ICJMO,324.93
AGRFQ,936.23
MYRAO,359.82
KGJWQ,66.06
BUQGW,878.24
FSQDX,697.97
LCOTR,306.43
NPGND,622.73
TWLBE,143.16
FBHEP,218.81
HCWXN,274.52
EBFYE,574.35
NVWXV,233.42
BZQVZ,715.11
HPWWN,137.99
JCERY,164.22
KEMCB,770.38
JMLEL,145.07
IJQVK,448.62
FQFUH,92.26
FAWTU,199.88
RIYIW,274.53
QYYEO,690.32
BKVFG,152.08
RKALV,967.98
GKEFS,524.56
VJTQI,285.23
IZSUF,94.48
JHOGZ,344.98
QUJCJ,749.52
FSSQF,547.24
PJLEL,183.03
YCCXB,37.33
OMVKQ,528.47
TRGDP,835.0
CJAPU,455.76
ZTWLQ,619.52
CMHTJ,869.63
VAZKG,293.92
NYYQP,203.47
HLUUF,792.55
RYDUM,262.37
BMVUK,349.77
YWJMI,662.87
EQHFB,443.28
ZZPAW,762.0
OEENV,775.5
EWYPK,887.04
HUKCE,824.35
VUAMW,919.19
RFFPV,205.23
YKNFW,141.92
JBXTM,101.78
DCMDZ,455.02
NCQQN,402.74
UGUQU,230.02
EHIEH,25.12
NGIFN,276.32
CVAJP,241.68
PNXZW,147.0
FXIVX,185.07
IPMPK,960.73
LRMBT,361.91
NGMPX,346.78
QQTSN,334.86
CSCNU,441.04
HVGKW,754.69
OIFPK,58.96
FTBQA,96.77
EKCCD,68.78
EBREI,509.13
CAMLF,275.85
MUDAF,189.14
QJTXV,50.43
UUZTX,52.93
HCTPI,654.38
KRZYZ,207.38
HGMSK,880.67
JPGXL,747.52
PMRWM,779.88
WKFXM,110.09
KMYFC,668.84
WRZEJ,322.45
RJEIL,207.01
AKTCZ,864.45
USHAT,250.79
XPQHT,762.83
WKWQE,91.58
FBZWC,738.32
FSVPI,174.38
EZAQE,822.62
YXDJF,392.41
KFZGK,490.38
PRFYP,494.32
TYJXM,222.67
QXWNB,438.47
EIGHD,973.89
YRVRT,630.75
SXMPU,794.7
BAZQU,33.67
BLFUM,52.83
OUNNM,264.09
CNFVG,231.03
FWLWS,214.61
RRGQU,217.34
VJDQN,69.11
RXAIN,474.96
DMLCZ,891.82
HXCSD,611.78
TKUVF,644.27
WXHCK,317.61
TWPQD,587.11
DVXGH,122.82
OKLYJ,872.01
NOQKD,279.36
TDFTT,858.6
ZUHSE,743.62
XXZWN,613.81
DWQUK,339.16
RESOC,643.85
HNWDK,124.34
GANDO,897.04
SJIVT,298.37
TOIBD,212.29
XORGB,405.21
XGYIF,133.02
FWUFU,251.06
NHZVC,840.24
SNMMI,154.51
CMNBU,478.22
KJERD,748.02
KIEUZ,811.02
UCGBI,296.49
GPQBL,36.15
ITEPT,246.9
RCKIO,321.31
UEMSN,228.68
HMKHI,700.0
GYIYQ,408.46
UMHKO,766.29
MBLVG,553.18
RXSXB,327.32
GQZUH,867.24
XIHQU,399.3
FQWYR,553.33
YWSYJ,913.36
UNGDA,589.31
VPHIH,94.38
JKCZT,316.94
CLJHM,922.92
AUZFT,103.01
WMEKV,435.07
QDEXM,350.46
LAVPR,193.86
FOFMZ,291.05
CFTFB,670.66
JOQWK,884.85
YTVUG,670.27
XQEVK,286.03
CMOHY,143.03
LKVAN,700.78
LJQEV,933.96
XBJAS,736.94
PCQVH,552.51
FFHNJ,699.17
TMAOO,353.37
EKNUW,23.48
EVWUJ,893.24
IBEEX,129.32
VDQTT,245.23
LCBUO,984.42
ZVLMC,881.21
POBAM,912.38
IXKGX,890.47
NVQCO,287.86
XYQBO,984.35
ABOMM,960.9
DAPSI,643.29
GUTCC,224.05
YBXGV,945.92
BFYTX,887.55
OPEBX,516.69
LDCGB,113.07
OJAJK,228.14
MYBIL,136.49
SPIFS,631.54
CMWJC,628.77
PPFXZ,863.33
SXKLJ,148.07
WXLGG,600.23
FJEXY,753.69
INJQN,388.87
UPVDY,815.88
CAQEO,374.54
BAHGT,622.61
BQBIK,673.24
NGVDM,470.1
ADDXH,515.76
CLYLV,465.38
AVGFC,23.55
WHXFN,124.34
TWZZH,995.35
RNAHV,761.68
XVHOU,774.19
BBRVO,731.85
HZYGB,25.63
BXMVF,440.81
CIUDZ,922.6
QGEFS,520.22
GVTEY,522.07
PQKGI,555.65
ZJLPV,102.29
CIPOO,834.7
FEYPD,437.8
SPYTS,269.81
SENKQ,395.61
SUZPK,577.04
WECKN,638.4
ONZJO,423.16
QBYNQ,670.05
SGOYT,147.54
FBXAI,721.78
UREJY,613.88
XLFOS,918.11
PLYPB,187.44
QEUWB,888.63
UYULM,297.26
QOITG,266.08
ANULQ,555.98
ZELRN,927.47
TFVQQ,654.59
YHHZC,107.85
UNROB,154.94
CLPHK,509.36
GCTTU,844.07
JWPKI,746.76
YEQDB,432.22
GFIKR,445.66
AEOTN,808.26
WUPDZ,899.28
ZFSUD,781.16
BMKVB,454.83
QPSPL,228.42
KQKIA,197.68
ZOQKW,312.43
FTNNA,285.1
TCEKE,54.31
KCNSM,894.27
MWZXO,107.38
BHXRK,481.75
CISHA,430.0
XUKWV,423.47
UICIK,140.07
TSUUY,466.77
HTVRX,238.68
GPGFK,837.05
MGMDB,42.96
IUHCK,86.37
IWNHB,298.03
BGHJC,800.48
EQZGE,994.05
JNEZY,974.91
QYYYV,230.01
FPUBE,459.17
ZZFIB,966.04
YGNIE,941.56
KOAHS,967.23
HZYVZ,112.05
TEUKZ,206.04
XAZFY,510.26
LUQKQ,169.38
QXMMS,81.63
PSSRN,103.78
RVMLP,901.3
EBKSK,317.56
HPUNU,935.5
EIYBN,644.93
UDQNB,771.28
CIDFN,589.77
NUOED,375.47
FXJBM,57.9
OUBWG,343.08
CTPTV,912.43
DKVFR,951.45
RVFCD,657.73
JPZUZ,468.18
DWYBX,120.51
LFFOS,901.59
UWSWG,279.62
PUWAZ,805.45
IAXAQ,851.38
ZFJVY,899.49
TLGKS,645.15
AOZHK,55.86
AYECX,523.92
HGORL,159.09
QLHUQ,349.31
YVBFG,832.63
GVNTU,576.9
HWZCH,731.2
HEOTW,303.97
IKNPA,734.4
JZNYR,744.13
CRURD,37.12
ZVMYM,417.83
KUPUE,956.41
RCWKI,80.08
CETCV,740.41
WXUQD,444.67
IRTLP,234.69
KBJAR,675.16
OELNY,570.86
OXLRB,312.22
YKCOX,696.0
ZFSWT,211.83
AVJZH,464.65
QZZSZ,385.9
DQULB,905.04
JGFPS,590.69
IJBUH,679.31
ZRPAX,803.45
GUYFJ,876.54
RBYGX,657.78
KQLNO,335.78
AEWUG,41.25
QUZMX,485.94
TYVIS,259.91
WVOKL,503.8
PITRG,37.05
ZYBPD,841.06
KOMWS,714.01
QIWGS,159.29
TWRCQ,863.87
LGWTU,291.33
FXQHH,859.65
KWIIY,151.12
KJSKW,153.77
AEMDU,75.2
NFJTT,444.78
ZDKYS,502.93
XQSGU,219.88
ITGSN,729.42
WLGIN,747.83
VKPQZ,338.18
TPGAV,916.23
TWBNO,318.37
KDYOS,120.32
RBYOC,609.22
ZPGIO,957.34
FEDIV,797.41
JHIPP,319.43
XJIRI,189.11
TCDSG,979.85
QUHYS,616.72
VPCEE,176.98
ZKUEF,122.75
WZQEU,940.43
OCWAJ,926.73
JDHBY,118.85
GNTKM,159.88
PPHOF,185.88
NOUYK,247.09
WWBEF,926.15
QKXQH,518.73
CMFYS,582.08
DNFQV,207.16
GMHBL,248.11
OCLJN,836.3
ZWDUW,748.04
JRDBU,937.28
DCUKG,89.77
BCGTL,180.82
BQFAX,561.09
JCFCC,747.58
OVZQD,112.61
BRSHZ,34.54
OSCQN,382.02
FFNXC,398.9
DRFQW,606.62
UWCKD,449.43
HFMZO,650.96
FGZDU,642.08
QKPUK,268.77
JIYRI,492.01
SGSVL,570.6
GSJWE,213.51
OEFTX,565.77
LJIKF,429.33
HJIJV,983.87
VFGFN,17.55
KWLRW,439.7
ITQWL,626.94
DUYUA,176.54
PZKFJ,494.6
DRGZZ,925.77
LATGM,387.73
VPEAB,32.78
BZEBP,338.47
BSZNN,68.51
WNQYV,855.27
VCDNT,563.39
BMQBI,697.92
SNWNU,660.83
MPZGD,245.53
RBIQP,611.59
ISVNG,732.87
FNFXV,649.68
TEHKT,949.67
OYSLL,318.01
OMLUB,158.0
DOMQI,375.39
AESGR,74.8
QQVBC,19.87
YLSPI,13.08
YXFSP,811.75
ADVUA,70.77
NKNIX,999.34
GXCLS,962.52
ZAOGT,563.56
NEJIL,581.87
RKMFX,920.94
MUJTZ,575.33
DVUUZ,34.74
HALGO,470.19
LBYMY,725.84
QCUTD,201.19
HWGFB,636.52
EADRB,304.62
PUAFH,757.49
KVYPY,687.17
QUDLU,628.01
EXWAZ,31.01
ROZZI,709.24
QRZBV,587.05
OQRPF,155.54
RWDWK,352.0
SZJAM,363.47
ABTVM,805.8
ZFLLV,132.13
VGJKG,900.43
RTWVZ,553.51
PZGHQ,913.83
ADAUG,624.27
AGVZH,177.99
WPDDW,239.5
YOHZT,596.96
DJPZK,68.27
YCHXI,614.72
XUATT,329.69
ASUKF,602.24
QPYWY,591.47
EPDZG,324.16
JNFYE,47.07
UZWOS,968.07
EWTTK,119.91
PEOKD,145.37
ULMWX,75.59
EVGYV,760.07
IKJKH,809.78
WOPJI,529.23
EYKCQ,15.25
XBNVY,324.09
GAVHR,323.22
GOZFF,405.81
HXRHH,877.99
DQHFS,504.09
HPDDH,686.47
HESIV,967.2
ALOXZ,760.14
XKJIK,595.76
YQYFI,282.52
ZVJRN,952.3
URGYS,617.22
HFXYQ,267.22
JCFST,573.99
LGKJR,41.31
GWCJY,132.72
VWWYD,281.5
GFFLJ,321.43
TESGR,422.94
ZHFRU,955.92
TKRAX,429.24
RTKPL,31.19
HPALF,100.92
CAUXX,463.98
HIOYT,811.18
HZNKK,874.62
XODWB,809.58
DQNMZ,202.95
NXPJQ,516.44
ZWUBI,894.25
KNHJU,502.84
DUPHS,824.17
EWLWD,333.62
EDRFU,164.63
HJOQX,871.0
WDJYZ,235.34
VFOMA,897.14
WNUBI,725.05
CKDNV,750.43
VVQXS,518.65
NGFBP,459.41
HENPK,961.52
PIJTO,556.33
KAEOU,723.78
SHBKP,701.3
LNDDP,730.85
PQRLS,912.82
ZMGFK,740.39
WKEGA,57.34
IWOWG,137.63
ZQDTQ,749.81
VRGBZ,266.83
UYRSP,353.02
YHBLL,845.77
UDUFD,855.58
ANGRF,875.89
MPJDA,474.3
GIPXJ,222.8
OOSMF,282.77
KDLEF,728.9
KXOUH,310.09
MNJOZ,643.94
XQBDE,876.11
HEKTI,61.77
APYDR,867.42
BEEXJ,524.86
RAJRW,857.37
LBDMS,360.57
EFSEE,110.54
NLDQA,509.26
EWIHA,69.33
TISWE,595.3
XTZPH,640.47
LIJHE,37.34
LTKJK,152.01
RMGTN,994.34
CGANX,626.54
DRWTQ,269.0
BQBFD,712.82
LHPSE,806.0
YKSMP,123.31
PDLYV,920.65
HTAIO,770.03
UJLIT,234.53
QPUBW,743.96
GYEXX,467.39
MELKM,952.64
MGRBO,960.33
DKBOW,206.6
FSJAS,641.18
YAQHO,278.88
RYFYA,111.85
KLLPB,949.56
QSQTQ,152.84
FSYCB,80.47
XZGTM,579.25
EEHWC,840.24
IRHDC,153.89
ISIMO,516.13
RIVKQ,269.66
XOHNR,843.48
MCMMK,542.59
DJUJK,301.55
SSBKT,945.46
WQDCN,839.02
ADPWF,749.49
NDEZQ,517.33
CYDLD,906.83
GLSUN,722.5
VTTFD,336.36
EZZFE,511.73
XDWGC,466.5
VJTEL,971.87
NKBZA,678.62
QSBJE,870.63
SOTYZ,21.86
DNXDD,550.29
NXNHB,652.29
SVPNN,310.89
GBSCM,471.55
JTIHV,487.29
ZBAPB,139.43
CZCFR,806.76
LXWOD,178.06
TNSRZ,280.47
RCIKT,741.06
KAJXZ,269.99
WHNDI,351.51
UGVOG,376.36
RUWHE,704.68
FDOIX,82.42
BNQBS,276.82
BZSEO,872.64
ODSPA,303.51
AXUVJ,703.53
NZOHR,816.35
UQSPP,516.75
PIEXZ,324.22
RHMON,205.12
OWEFR,698.98
PBDQP,569.78
TMCOW,866.5
BYUFG,937.82
LPIXK,674.16
EWUQI,715.15
KUNSM,813.86
FAGEV,260.95
KIRJR,25.64
EOIIT,196.69
HURUF,524.34
JVOKI,515.01
JBUYS,27.65
UMFBR,503.67
DMPGJ,587.41
PBNTG,488.33
TYSPV,202.07
GGIWX,891.22
TWCCQ,781.52
FXBWV,884.7
SDQZC,23.38
WXIPN,949.18
HXYTM,890.62
EVDZY,969.73
IZZQO,228.49
GRHWM,824.64
QJNIF,362.77
ZRKHY,976.43
AKLSJ,396.81
SHPCB,397.94
LXDYE,476.52
NAYOW,199.17
RBFQP,72.84
VHRSU,605.11
ILLKZ,819.48
ULQJU,759.19
EUNCM,73.63
TYYEP,487.55
WMBPO,258.6
TEMFZ,817.13
DIFFY,753.17
SISCO,821.62
FUBWO,745.46
QWJLA,505.02
TYZWU,17.14
GUFLZ,761.09
VHBGJ,133.8
VLLGR,873.48
FKQQS,429.04
JUKTG,938.77
YXZOA,973.93
HIYGD,40.24
RIVYK,214.41
SPSFG,807.9
HVHOU,838.8
SPMBL,499.49
DVNZB,787.89
NMMPG,671.91
PVPGB,733.46
JCPJE,675.46
VDJBL,122.37
FMTEX,850.43
UMPNZ,351.42
BRIFX,846.14
YFGFW,433.12
DGPPF,607.81
DZONL,506.05
SXNMA,34.36
HAMMW,259.89
DSDRL,119.02
SKAUS,272.54
NDPYW,963.83
MUCWB,792.55
PWTWN,978.48
UXADJ,348.56
IRHQA,41.6
KGLLJ,14.22
BVFTE,539.02
AQUXF,305.58
NNJJI,112.33
EMYPF,409.58
QAVYE,312.99
EIRTY,755.26
FBCMS,706.06
UKVOU,131.13
XFPGF,284.72
ZHRLQ,421.1
YOJGW,956.68
JUJEO,185.8
XSMCF,897.99
MBWET,375.8
LWDBM,530.36
ZSGHO,679.19
TTAKF,337.47
QUJMX,368.86
EMVVC,163.21
TVOUV,444.56
PMXVS,94.79
